lats,lons,RSSI
0.013485,-0.0041707,-59.636
-0.036213,0.10614,-138.77
-0.074969,0.032791,-103.81
0.038364,-0.028991,-122.74
-0.036495,-0.0039062,-99.308
-0.0046805,-0.014028,-85.037
0.0083858,0.11197,-110.74
0.00022642,-0.00060564,-31.095
0.0030766,0.022279,-75.671
-0.028474,0.0083926,-117.69
-0.00054275,0.0060579,-50.819
-0.012084,-0.006474,-100.39
-0.064456,0.016429,-124.12
-0.025046,-0.047856,-122.32
0.029687,-0.0088726,-100.52
-0.021287,-0.00067715,-84.834
-0.038052,-0.018923,-113.12
0.005893,-0.021097,-63.365
0.014188,-0.034453,-105.52
0.019273,0.018746,-66.162
-0.018697,-0.097684,-114.07
0.059102,0.028026,-90.743
-0.029995,-0.00020817,-100.27
-0.050972,-0.015092,-110.51
-0.024835,-0.0098665,-109.99
-0.023651,-0.0027609,-97.48
-0.01947,-0.017479,-113.8
-0.03849,0.063755,-101.21
0.0026189,-0.063109,-105.75
0.0057864,-0.0050888,-56.205
-0.001166,0.0066046,-52.125
0.016447,0.022258,-64.143
0.038233,0.013762,-100.8
0.021143,0.019441,-87.668
-0.057088,0.029197,-121.85
0.035077,0.10533,-99.21
0.0041071,-0.093948,-105.84
-0.033165,-0.062992,-118.2
0.05083,-0.060653,-120.86
-0.06222,-0.034157,-108.01
-0.041254,0.044316,-123.45
-0.040638,0.076217,-77.851
-0.010592,0.045516,-67.757
-0.031983,0.059524,-113.27
0.0009137,0.030061,-69.391
0.0067968,0.034072,-65.451
-0.0012607,0.0016187,-41.68
0.010691,-0.039686,-72.2
0.0045045,-0.016131,-83.839
0.032365,-0.024284,-117.66
-0.0050938,0.017289,-78.301
-0.072532,-0.023294,-112.98
-0.024896,0.083306,-104.94
-0.0017186,-0.011795,-64.645
0.010079,0.098862,-109.71
-0.018459,0.011816,-63.01
0.0093518,-0.0030356,-56.489
-0.044116,0.054153,-112.28
-0.066074,0.074025,-113.84
-0.022914,-0.094039,-114.08
0.014879,-0.07308,-113.02
-0.023881,0.023457,-113.51
0.020383,-0.019447,-64.748
0.038962,0.0038283,-112.41
0.0099113,0.040436,-114.01
0.059199,0.070667,-108.03
-0.00026094,-0.00065995,-31.747
-0.03541,0.06981,-112.35
-0.030134,0.005448,-115.65
-0.026297,-0.010533,-110.76
0.027302,-0.069653,-100.36
-0.02168,0.10806,-112.26
-0.080267,0.0038078,-113.41
0.066894,-0.08084,-114.12
-0.0020495,-0.0084174,-55.78
0.01147,0.0028146,-58.149
0.088213,-0.0044632,-129.18
-0.0080809,-0.0010151,-79.312
0.056548,-0.033426,-131.25
0.039137,-0.099855,-95.522
-0.012753,-0.00016877,-87.874
0.063428,-0.064951,-114.78
0.00058667,-0.0022682,-41.832
0.0065215,0.040728,-92.438
-0.021227,-0.0039886,-105.68
-0.061168,-0.086472,-113.17
0.054105,0.072486,-104.95
0.069776,0.020827,-128.05
0.075578,-0.039304,-123.27
0.013558,0.093085,-119.79
0.071757,0.03058,-127.9
0.011872,0.035597,-66.016
6.39E-05,0.090311,-121.86
-0.045179,-0.052847,-114.99
-0.024591,0.011438,-115.76
0.018696,-0.032318,-66.447
0.081454,-0.008843,-125.82
0.0028351,-0.00082727,-46.2
-0.060998,-0.019155,-108.6
0.017631,0.0087294,-71.206
-0.035739,-0.08774,-114.97
0.019624,0.00042152,-62.668
-0.0035119,0.011146,-70.588
-0.021984,-0.06919,-113.24
-0.0064078,0.0091795,-61.351
-0.0033057,0.097051,-102.72
-0.026904,0.10354,-127.1
0.0038068,-0.037651,-108.69
0.017906,0.024218,-106.15
0.00023925,0.00075853,-33.18
0.02914,-0.045663,-105.28
-0.031812,-0.11217,-117.19
-0.03108,0.07924,-122.2
-0.011209,0.034602,-65.73
-0.04814,0.033041,-116.56
0.064265,0.038562,-77.601
0.0062415,-0.010617,-58.224
-0.027144,0.0601,-105.43
-0.016677,-0.10337,-115.71
0.018627,-0.080024,-108.8
0.021307,-0.0065548,-63.599
-0.021487,-0.029865,-123.91
0.044614,0.027587,-92.636
-0.0026856,0.00737,-53.594
-0.035971,-0.011194,-109.62
-0.018563,0.014283,-63.399
0.00097178,-0.059441,-108.76
-0.016605,0.095379,-115.46
-0.028305,0.025408,-109.22
0.030563,0.047553,-108.97
-0.0033207,0.010589,-62.701
-0.075702,-0.041696,-112.69
0.017483,-0.0088686,-62.235
-0.026384,0.029746,-110.11
-0.018896,0.076088,-105.92
-0.062043,-0.038256,-110.35
-0.006019,-0.019405,-103.83
0.037638,0.037007,-98.752
-0.007746,0.12056,-101.36
-0.058399,0.03415,-106.25
-0.0037967,0.0083431,-60.717
-0.0035643,-0.0021226,-48.621
0.041741,-0.019546,-77.711
-0.039901,-0.0061931,-103.61
0.043187,-0.0097104,-90.677
-0.0098829,-0.015108,-88.061
0.031155,-0.012201,-67.591
-0.009075,-0.10637,-110.22
-0.066779,-0.0062869,-97.28
-0.037455,-0.0019021,-89.275
0.046517,-0.090711,-107.18
0.0071873,0.0060884,-55.399
0.0022876,0.02183,-86.11
0.052546,0.090629,-112.63
-0.0037583,0.011159,-69.285
-0.023168,-0.035271,-124.71
-0.019324,-0.023532,-113.15
0.00027609,0.0088789,-53.165
0.017077,0.0051827,-65.373
0.018295,0.044341,-116.93
0.022372,0.018814,-74.911
0.034437,0.071599,-101.48
0.016093,0.019399,-63.48
0.037619,0.10506,-103.21
0.027278,-0.00439,-65.588
0.0034704,0.018244,-83.943
-0.049924,-0.0025098,-105.99
-0.024153,0.090371,-109.37
0.039274,0.0096656,-69.871
-0.052897,-0.097622,-117.28
0.015345,-0.048874,-111.15
0.024281,0.01711,-75.446
0.020854,0.010175,-68.656
0.080164,0.043662,-129
-0.0085467,0.02451,-74.117
0.0021126,-0.048019,-103.74
-0.019343,0.007832,-65.953
0.022274,0.013082,-74.882
0.037265,0.007083,-101.24
-0.072655,0.071107,-119.01
0.0029403,-0.11071,-115.48
-0.0044297,0.066654,-71.961
0.047353,0.034065,-120.59
-0.0021951,0.0091539,-55.238
0.034941,-0.051838,-101.1
0.0261,-0.10339,-93.989
0.032123,-0.035897,-120.79
0.028236,0.029831,-110.05
-0.0085829,0.0051634,-58.854
0.05334,0.033021,-102.67
-0.077338,0.05998,-122.94
0.033864,-0.068603,-108.43
0.018255,-0.045895,-87.388
-0.012215,-0.077871,-127.81
0.022448,-0.064857,-104.68
0.0010193,0.090583,-121.77
-0.049546,-0.039779,-114.42
0.045255,-0.0026131,-76.281
-0.04606,-0.095486,-119.71
0.042412,-0.046178,-122.75
-0.017086,-0.074153,-111.97
-0.06202,0.016356,-129.17
-0.027996,-0.097558,-114.32
0.032359,-0.014739,-71.105
0.015687,-0.083971,-77.592
-0.022443,0.055938,-93.896
-0.021435,0.033357,-103.67
-0.026854,0.038392,-105.95
-0.011456,0.082143,-116.59
-0.020399,0.00039936,-79.056
0.0085848,0.11849,-109.13
-0.0042204,0.11849,-90.672
0.007144,-0.033855,-100.59
-0.0039092,-0.040807,-110.05
0.047489,0.10282,-122.47
-0.069235,0.020965,-128.71
-0.070021,-0.019464,-110.65
-0.016004,-0.073764,-114.85
-0.072926,-0.0036304,-75.507
-0.037213,-0.020894,-114.01
-0.048081,-0.077233,-119.09
0.005634,0.013387,-58.304
0.032226,-0.044704,-114.23
0.0362,-0.07203,-75.177
-0.020611,-0.011564,-111.24
0.026884,-0.053517,-71.08
-0.011535,-0.04377,-115.49
-0.048783,-0.071732,-115.03
0.029905,-0.070879,-105.44
-0.073144,0.06702,-121.65
-0.026794,-0.10795,-106.78
-0.047799,0.027058,-110.37
0.0066111,-0.0038948,-55.45
-0.02877,0.031903,-110.14
0.015923,0.0044785,-64.264
0.059363,0.090715,-124.16
0.024043,0.054306,-70.209
0.065745,0.060773,-114.45
-0.055193,0.025359,-132.44
-0.0092827,0.055277,-69.252
0.0080944,0.0038019,-55.488
-0.08569,0.020604,-103.7
0.0092368,0.074369,-109.56
0.0092036,0.014319,-59.755
0.033023,0.018793,-72.181
-0.035851,0.095678,-121.52
-0.014895,-0.062353,-110.77
0.0095156,0.064852,-105.78
-0.02786,0.038394,-107.79
-0.0050854,0.021256,-69.394
0.0024175,-0.030129,-115.86
0.010493,-0.031637,-118.9
-0.032556,-0.046962,-123.67
0.04996,0.0084295,-98.713
-0.035547,-0.015424,-110.47
-0.0097042,0.10932,-112.56
0.023489,0.019191,-76.005
-0.042794,-0.053762,-118.01
-0.020196,-0.022069,-111.83
-0.017364,-0.020295,-102.96
-0.0025849,0.04341,-100.71
0.047273,-0.074335,-81.417
0.048335,-0.0048266,-106.24
0.013903,-0.069255,-76.54
0.013685,0.021159,-63.163
0.0071333,-0.0077879,-57.891
-0.05655,0.017251,-131.95
0.082913,-0.040504,-114.7
-0.0090808,-0.001498,-91.894
-0.013355,-0.013989,-84.04
-0.00071445,0.00060762,-35.494
-0.0097357,-0.10106,-113.18
0.029352,-0.043037,-114.3
-0.028698,-0.041694,-124.79
-0.049982,-0.087322,-119.44
-0.0083112,-0.049454,-107.76
-0.048554,-0.0082399,-106.01
0.044083,-0.060635,-108.35
0.004923,0.0069348,-54.062
0.033996,-0.041542,-124.35
-0.040633,0.022049,-98.191
-0.046136,0.08324,-128.61
0.045363,-0.042685,-120.97
0.0010534,0.014206,-90.684
0.0098167,0.072598,-111.56
-0.011965,0.011695,-60.193
-0.013303,0.045052,-68.891
-0.047724,0.0051582,-107.23
-0.016782,0.10394,-116.59
0.002711,-0.080053,-107.02
-0.02397,-0.090084,-114.15
-0.0092619,-0.0088305,-93.034
-0.0079332,0.062916,-89.959
-0.046001,0.089897,-102.6
0.0015374,0.0131,-83.115
-0.025692,-0.068869,-114.24
-0.0072097,-0.0012701,-79.856
