lats,lons,RSSI
-0.032241,-0.030203,-120.11
-0.00011586,-9.17E-05,-22.929
-0.0004259,-0.02668,-100.77
0.0068481,0.046276,-109.57
-0.064914,0.0073689,-101.21
-0.067147,0.021376,-129.5
-0.019352,0.013106,-63.514
0.0021422,-0.0031971,-46.951
0.068128,-0.070242,-121.4
0.041731,-0.031279,-117.38
-0.013788,-0.00574,-99.811
0.021744,-0.032893,-67.369
0.0048531,0.033114,-65.052
0.014052,-0.068019,-74.636
0.056653,-0.014333,-122.52
0.0091588,-0.0074593,-57.405
0.00090628,0.0036022,-45.869
-0.01075,-0.05662,-110.37
0.0094274,-0.013736,-60.028
-0.00081695,0.11266,-96.014
-0.0068597,-0.049252,-113.34
-0.023771,0.037111,-99.014
-0.012622,0.0074566,-65.825
0.070189,-0.048174,-115.43
0.078494,-0.010828,-122.71
0.0082226,-0.001963,-55.269
-0.029899,0.0011281,-105.9
-0.0082344,0.083573,-95.686
-0.011992,-0.012994,-84.877
-0.024908,0.02519,-109.01
-0.025912,0.027248,-109.48
-0.011106,-0.038727,-117.16
0.082307,-0.0021633,-121.74
0.010776,-0.014873,-78.144
-0.0048563,-0.022575,-106.47
0.024147,0.1129,-115.99
0.035729,-0.028459,-125.77
-0.062515,0.028957,-125.75
0.00031553,-0.010545,-57.552
0.019336,-0.0014474,-62.552
0.050099,-0.015009,-107.71
-0.026564,0.016053,-115.07
-0.04674,-0.097672,-116.49
0.032841,-0.056437,-83.632
0.0069346,0.011204,-57.49
-0.00054923,0.033638,-68.413
0.00043618,0.017702,-101.86
0.064671,-0.00083736,-135.05
-0.059584,-0.044014,-115.04
-0.052615,-0.074565,-113.17
0.0068114,-0.01726,-63.637
-0.028034,-0.035454,-123.28
0.017641,0.094537,-121.44
0.0061819,-0.023664,-64.908
0.052092,-0.037716,-127.94
-0.024941,0.01037,-116.5
-0.04859,0.051318,-96.815
-0.012864,0.033268,-65.675
0.081271,-0.032673,-121.99
-0.012345,0.023771,-84.657
0.035409,0.070233,-98.482
0.0077131,-0.013444,-58.808
-0.036009,-0.023647,-116.76
0.047727,0.04483,-86.278
0.0030517,0.009492,-54.498
0.028535,0.048883,-104.35
0.012765,0.024906,-63.816
0.020536,-0.036223,-67.842
-0.0049342,0.071384,-98.635
-0.037574,-0.10976,-120.65
0.0033784,-0.0009392,-47.673
-0.020838,-0.015802,-116.94
-0.018524,-0.026879,-117.47
-0.0093906,0.021608,-90.164
0.054961,0.020395,-106.96
0.020266,0.082608,-105.77
-0.046079,-0.018913,-110.92
0.0056595,0.0048751,-53.721
-0.01213,-0.0088729,-99.636
0.025588,0.075616,-122.17
0.005578,0.039881,-68.574
-0.063518,0.055676,-123.24
-0.085229,0.0028388,-113.52
0.03897,0.074729,-77.037
0.0023625,0.00085265,-44.763
0.034767,0.077349,-128.83
-0.022624,0.027211,-113.43
0.01109,0.096293,-109.53
0.015009,-0.00019961,-61.916
-0.038034,-0.057834,-119.8
0.0025421,-0.017075,-102.82
-0.073557,-0.0072803,-95.793
0.01511,0.0073249,-63.155
-0.0048168,-0.020814,-104.63
0.0034654,-0.017838,-99.372
-0.0069925,0.051988,-68.642
0.070694,-0.048152,-113.99
0.042946,0.017832,-69.855
-0.020955,-0.062965,-114.31
0.00083316,-0.010587,-57.628
0.038516,-0.014226,-75.072
0.035566,-0.070941,-91.465
-0.0015302,-0.11936,-108.71
-0.03121,0.010738,-113.68
0.0057356,0.011683,-57.138
0.022315,0.0094962,-64.951
0.013876,0.11958,-100.64
-0.068422,-0.04252,-110.5
-0.06717,-0.0083737,-101.36
0.055491,0.054941,-76.315
0.081605,-0.043662,-114.64
0.069191,-0.052889,-112.93
0.053125,0.030256,-106.17
-0.075182,-0.041965,-111.13
-0.028801,-0.090518,-117.91
-0.014945,-0.070848,-110.3
-0.031265,0.095244,-115.43
0.0027673,0.018708,-89.195
-0.024781,-0.02058,-117.56
